Sequence   | Mnemonic                 | Expression                     | Instruction                                                  | M16      | M32      | M64      | CpuId      | Id                                                
3277       | VPMASKMOVQ               | VEX.256.66.0F38.W1 8E /r       | VPMASKMOVQ m256, ymm1, ymm2                                  | Y        | Y        | Y        | AVX2       | VEX_Vpmaskmovq_m256_ymm_ymm                       
3278       | VPMAXSB                  | EVEX.128.66.0F38.WIG 3C /r     | VPMAXSB xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxsb_xmm_k1z_xmm_xmmm128                  
3279       | VPMAXSB                  | EVEX.256.66.0F38.WIG 3C /r     | VPMAXSB ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxsb_ymm_k1z_ymm_ymmm256                  
3280       | VPMAXSB                  | EVEX.512.66.0F38.WIG 3C /r     | VPMAXSB zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmaxsb_zmm_k1z_zmm_zmmm512                  
3281       | VPMAXSB                  | VEX.128.66.0F38.WIG 3C /r      | VPMAXSB xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxsb_xmm_xmm_xmmm128                       
3282       | VPMAXSB                  | VEX.256.66.0F38.WIG 3C /r      | VPMAXSB ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxsb_ymm_ymm_ymmm256                       
3283       | VPMAXSD                  | EVEX.128.66.0F38.W0 3D /r      | VPMAXSD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxsd_xmm_k1z_xmm_xmmm128b32               
3284       | VPMAXSD                  | EVEX.256.66.0F38.W0 3D /r      | VPMAXSD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxsd_ymm_k1z_ymm_ymmm256b32               
3285       | VPMAXSD                  | EVEX.512.66.0F38.W0 3D /r      | VPMAXSD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpmaxsd_zmm_k1z_zmm_zmmm512b32               
3286       | VPMAXSD                  | VEX.128.66.0F38.WIG 3D /r      | VPMAXSD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxsd_xmm_xmm_xmmm128                       
3287       | VPMAXSD                  | VEX.256.66.0F38.WIG 3D /r      | VPMAXSD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxsd_ymm_ymm_ymmm256                       
3288       | VPMAXSQ                  | EVEX.128.66.0F38.W1 3D /r      | VPMAXSQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxsq_xmm_k1z_xmm_xmmm128b64               
3289       | VPMAXSQ                  | EVEX.256.66.0F38.W1 3D /r      | VPMAXSQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxsq_ymm_k1z_ymm_ymmm256b64               
3290       | VPMAXSQ                  | EVEX.512.66.0F38.W1 3D /r      | VPMAXSQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpmaxsq_zmm_k1z_zmm_zmmm512b64               
3291       | VPMAXSW                  | EVEX.128.66.0F.WIG EE /r       | VPMAXSW xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxsw_xmm_k1z_xmm_xmmm128                  
3292       | VPMAXSW                  | EVEX.256.66.0F.WIG EE /r       | VPMAXSW ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxsw_ymm_k1z_ymm_ymmm256                  
3293       | VPMAXSW                  | EVEX.512.66.0F.WIG EE /r       | VPMAXSW zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmaxsw_zmm_k1z_zmm_zmmm512                  
3294       | VPMAXSW                  | VEX.128.66.0F.WIG EE /r        | VPMAXSW xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxsw_xmm_xmm_xmmm128                       
3295       | VPMAXSW                  | VEX.256.66.0F.WIG EE /r        | VPMAXSW ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxsw_ymm_ymm_ymmm256                       
3296       | VPMAXUB                  | EVEX.128.66.0F.WIG DE /r       | VPMAXUB xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxub_xmm_k1z_xmm_xmmm128                  
3297       | VPMAXUB                  | EVEX.256.66.0F.WIG DE /r       | VPMAXUB ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxub_ymm_k1z_ymm_ymmm256                  
3298       | VPMAXUB                  | EVEX.512.66.0F.WIG DE /r       | VPMAXUB zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmaxub_zmm_k1z_zmm_zmmm512                  
3299       | VPMAXUB                  | VEX.128.66.0F.WIG DE /r        | VPMAXUB xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxub_xmm_xmm_xmmm128                       
3300       | VPMAXUB                  | VEX.256.66.0F.WIG DE /r        | VPMAXUB ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxub_ymm_ymm_ymmm256                       
3301       | VPMAXUD                  | EVEX.128.66.0F38.W0 3F /r      | VPMAXUD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxud_xmm_k1z_xmm_xmmm128b32               
3302       | VPMAXUD                  | EVEX.256.66.0F38.W0 3F /r      | VPMAXUD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxud_ymm_k1z_ymm_ymmm256b32               
3303       | VPMAXUD                  | EVEX.512.66.0F38.W0 3F /r      | VPMAXUD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpmaxud_zmm_k1z_zmm_zmmm512b32               
3304       | VPMAXUD                  | VEX.128.66.0F38.WIG 3F /r      | VPMAXUD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxud_xmm_xmm_xmmm128                       
3305       | VPMAXUD                  | VEX.256.66.0F38.WIG 3F /r      | VPMAXUD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxud_ymm_ymm_ymmm256                       
3306       | VPMAXUQ                  | EVEX.128.66.0F38.W1 3F /r      | VPMAXUQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxuq_xmm_k1z_xmm_xmmm128b64               
3307       | VPMAXUQ                  | EVEX.256.66.0F38.W1 3F /r      | VPMAXUQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmaxuq_ymm_k1z_ymm_ymmm256b64               
3308       | VPMAXUQ                  | EVEX.512.66.0F38.W1 3F /r      | VPMAXUQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpmaxuq_zmm_k1z_zmm_zmmm512b64               
3309       | VPMAXUW                  | EVEX.128.66.0F38.WIG 3E /r     | VPMAXUW xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxuw_xmm_k1z_xmm_xmmm128                  
3310       | VPMAXUW                  | EVEX.256.66.0F38.WIG 3E /r     | VPMAXUW ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmaxuw_ymm_k1z_ymm_ymmm256                  
3311       | VPMAXUW                  | EVEX.512.66.0F38.WIG 3E /r     | VPMAXUW zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmaxuw_zmm_k1z_zmm_zmmm512                  
3312       | VPMAXUW                  | VEX.128.66.0F38.WIG 3E /r      | VPMAXUW xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpmaxuw_xmm_xmm_xmmm128                       
3313       | VPMAXUW                  | VEX.256.66.0F38.WIG 3E /r      | VPMAXUW ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpmaxuw_ymm_ymm_ymmm256                       
3314       | VPMINSB                  | EVEX.128.66.0F38.WIG 38 /r     | VPMINSB xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminsb_xmm_k1z_xmm_xmmm128                  
3315       | VPMINSB                  | EVEX.256.66.0F38.WIG 38 /r     | VPMINSB ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminsb_ymm_k1z_ymm_ymmm256                  
3316       | VPMINSB                  | EVEX.512.66.0F38.WIG 38 /r     | VPMINSB zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpminsb_zmm_k1z_zmm_zmmm512                  
3317       | VPMINSB                  | VEX.128.66.0F38.WIG 38 /r      | VPMINSB xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminsb_xmm_xmm_xmmm128                       
3318       | VPMINSB                  | VEX.256.66.0F38.WIG 38 /r      | VPMINSB ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminsb_ymm_ymm_ymmm256                       
3319       | VPMINSD                  | EVEX.128.66.0F38.W0 39 /r      | VPMINSD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminsd_xmm_k1z_xmm_xmmm128b32               
3320       | VPMINSD                  | EVEX.256.66.0F38.W0 39 /r      | VPMINSD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminsd_ymm_k1z_ymm_ymmm256b32               
3321       | VPMINSD                  | EVEX.512.66.0F38.W0 39 /r      | VPMINSD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpminsd_zmm_k1z_zmm_zmmm512b32               
3322       | VPMINSD                  | VEX.128.66.0F38.WIG 39 /r      | VPMINSD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminsd_xmm_xmm_xmmm128                       
3323       | VPMINSD                  | VEX.256.66.0F38.WIG 39 /r      | VPMINSD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminsd_ymm_ymm_ymmm256                       
3324       | VPMINSQ                  | EVEX.128.66.0F38.W1 39 /r      | VPMINSQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminsq_xmm_k1z_xmm_xmmm128b64               
3325       | VPMINSQ                  | EVEX.256.66.0F38.W1 39 /r      | VPMINSQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminsq_ymm_k1z_ymm_ymmm256b64               
3326       | VPMINSQ                  | EVEX.512.66.0F38.W1 39 /r      | VPMINSQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpminsq_zmm_k1z_zmm_zmmm512b64               
3327       | VPMINSW                  | EVEX.128.66.0F.WIG EA /r       | VPMINSW xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminsw_xmm_k1z_xmm_xmmm128                  
3328       | VPMINSW                  | EVEX.256.66.0F.WIG EA /r       | VPMINSW ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminsw_ymm_k1z_ymm_ymmm256                  
3329       | VPMINSW                  | EVEX.512.66.0F.WIG EA /r       | VPMINSW zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpminsw_zmm_k1z_zmm_zmmm512                  
3330       | VPMINSW                  | VEX.128.66.0F.WIG EA /r        | VPMINSW xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminsw_xmm_xmm_xmmm128                       
3331       | VPMINSW                  | VEX.256.66.0F.WIG EA /r        | VPMINSW ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminsw_ymm_ymm_ymmm256                       
3332       | VPMINUB                  | EVEX.128.66.0F.WIG DA /r       | VPMINUB xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminub_xmm_k1z_xmm_xmmm128                  
3333       | VPMINUB                  | EVEX.256.66.0F.WIG DA /r       | VPMINUB ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminub_ymm_k1z_ymm_ymmm256                  
3334       | VPMINUB                  | EVEX.512.66.0F.WIG DA /r       | VPMINUB zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpminub_zmm_k1z_zmm_zmmm512                  
3335       | VPMINUB                  | VEX.128.66.0F.WIG DA /r        | VPMINUB xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminub_xmm_xmm_xmmm128                       
3336       | VPMINUB                  | VEX.256.66.0F.WIG DA /r        | VPMINUB ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminub_ymm_ymm_ymmm256                       
3337       | VPMINUD                  | EVEX.128.66.0F38.W0 3B /r      | VPMINUD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminud_xmm_k1z_xmm_xmmm128b32               
3338       | VPMINUD                  | EVEX.256.66.0F38.W0 3B /r      | VPMINUD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminud_ymm_k1z_ymm_ymmm256b32               
3339       | VPMINUD                  | EVEX.512.66.0F38.W0 3B /r      | VPMINUD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpminud_zmm_k1z_zmm_zmmm512b32               
3340       | VPMINUD                  | VEX.128.66.0F38.WIG 3B /r      | VPMINUD xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminud_xmm_xmm_xmmm128                       
3341       | VPMINUD                  | VEX.256.66.0F38.WIG 3B /r      | VPMINUD ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminud_ymm_ymm_ymmm256                       
3342       | VPMINUQ                  | EVEX.128.66.0F38.W1 3B /r      | VPMINUQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminuq_xmm_k1z_xmm_xmmm128b64               
3343       | VPMINUQ                  | EVEX.256.66.0F38.W1 3B /r      | VPMINUQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst                | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpminuq_ymm_k1z_ymm_ymmm256b64               
3344       | VPMINUQ                  | EVEX.512.66.0F38.W1 3B /r      | VPMINUQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst                | Y        | Y        | Y        | AVX512F    | EVEX_Vpminuq_zmm_k1z_zmm_zmmm512b64               
3345       | VPMINUW                  | EVEX.128.66.0F38.WIG 3A /r     | VPMINUW xmm1 {k1}{z}, xmm2, xmm3/m128                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminuw_xmm_k1z_xmm_xmmm128                  
3346       | VPMINUW                  | EVEX.256.66.0F38.WIG 3A /r     | VPMINUW ymm1 {k1}{z}, ymm2, ymm3/m256                        | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpminuw_ymm_k1z_ymm_ymmm256                  
3347       | VPMINUW                  | EVEX.512.66.0F38.WIG 3A /r     | VPMINUW zmm1 {k1}{z}, zmm2, zmm3/m512                        | Y        | Y        | Y        | AVX512BW   | EVEX_Vpminuw_zmm_k1z_zmm_zmmm512                  
3348       | VPMINUW                  | VEX.128.66.0F38.WIG 3A /r      | VPMINUW xmm1, xmm2, xmm3/m128                                | Y        | Y        | Y        | AVX        | VEX_Vpminuw_xmm_xmm_xmmm128                       
3349       | VPMINUW                  | VEX.256.66.0F38.WIG 3A /r      | VPMINUW ymm1, ymm2, ymm3/m256                                | Y        | Y        | Y        | AVX2       | VEX_Vpminuw_ymm_ymm_ymmm256                       
3350       | VPMOVB2M                 | EVEX.128.F3.0F38.W0 29 /r      | VPMOVB2M k1, xmm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovb2m_k_xmm                               
3351       | VPMOVB2M                 | EVEX.256.F3.0F38.W0 29 /r      | VPMOVB2M k1, ymm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovb2m_k_ymm                               
3352       | VPMOVB2M                 | EVEX.512.F3.0F38.W0 29 /r      | VPMOVB2M k1, zmm1                                            | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmovb2m_k_zmm                               
3353       | VPMOVD2M                 | EVEX.128.F3.0F38.W0 39 /r      | VPMOVD2M k1, xmm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovd2m_k_xmm                               
3354       | VPMOVD2M                 | EVEX.256.F3.0F38.W0 39 /r      | VPMOVD2M k1, ymm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovd2m_k_ymm                               
3355       | VPMOVD2M                 | EVEX.512.F3.0F38.W0 39 /r      | VPMOVD2M k1, zmm1                                            | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmovd2m_k_zmm                               
3356       | VPMOVDB                  | EVEX.128.F3.0F38.W0 31 /r      | VPMOVDB xmm1/m32 {k1}{z}, xmm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovdb_xmmm32_k1z_xmm                       
3357       | VPMOVDB                  | EVEX.256.F3.0F38.W0 31 /r      | VPMOVDB xmm1/m64 {k1}{z}, ymm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovdb_xmmm64_k1z_ymm                       
3358       | VPMOVDB                  | EVEX.512.F3.0F38.W0 31 /r      | VPMOVDB xmm1/m128 {k1}{z}, zmm2                              | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovdb_xmmm128_k1z_zmm                      
3359       | VPMOVDW                  | EVEX.128.F3.0F38.W0 33 /r      | VPMOVDW xmm1/m64 {k1}{z}, xmm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovdw_xmmm64_k1z_xmm                       
3360       | VPMOVDW                  | EVEX.256.F3.0F38.W0 33 /r      | VPMOVDW xmm1/m128 {k1}{z}, ymm2                              | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovdw_xmmm128_k1z_ymm                      
3361       | VPMOVDW                  | EVEX.512.F3.0F38.W0 33 /r      | VPMOVDW ymm1/m256 {k1}{z}, zmm2                              | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovdw_ymmm256_k1z_zmm                      
3362       | VPMOVM2B                 | EVEX.128.F3.0F38.W0 28 /r      | VPMOVM2B xmm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovm2b_xmm_k                               
3363       | VPMOVM2B                 | EVEX.256.F3.0F38.W0 28 /r      | VPMOVM2B ymm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovm2b_ymm_k                               
3364       | VPMOVM2B                 | EVEX.512.F3.0F38.W0 28 /r      | VPMOVM2B zmm1, k1                                            | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmovm2b_zmm_k                               
3365       | VPMOVM2D                 | EVEX.128.F3.0F38.W0 38 /r      | VPMOVM2D xmm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vpmovm2d_xmm_k                               
3366       | VPMOVM2D                 | EVEX.256.F3.0F38.W0 38 /r      | VPMOVM2D ymm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vpmovm2d_ymm_k                               
3367       | VPMOVM2D                 | EVEX.512.F3.0F38.W0 38 /r      | VPMOVM2D zmm1, k1                                            | Y        | Y        | Y        | AVX512DQ   | EVEX_Vpmovm2d_zmm_k                               
3368       | VPMOVM2Q                 | EVEX.128.F3.0F38.W1 38 /r      | VPMOVM2Q xmm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vpmovm2q_xmm_k                               
3369       | VPMOVM2Q                 | EVEX.256.F3.0F38.W1 38 /r      | VPMOVM2Q ymm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512DQ | EVEX_Vpmovm2q_ymm_k                               
3370       | VPMOVM2Q                 | EVEX.512.F3.0F38.W1 38 /r      | VPMOVM2Q zmm1, k1                                            | Y        | Y        | Y        | AVX512DQ   | EVEX_Vpmovm2q_zmm_k                               
3371       | VPMOVM2W                 | EVEX.128.F3.0F38.W1 28 /r      | VPMOVM2W xmm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovm2w_xmm_k                               
3372       | VPMOVM2W                 | EVEX.256.F3.0F38.W1 28 /r      | VPMOVM2W ymm1, k1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovm2w_ymm_k                               
3373       | VPMOVM2W                 | EVEX.512.F3.0F38.W1 28 /r      | VPMOVM2W zmm1, k1                                            | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmovm2w_zmm_k                               
3374       | VPMOVMSKB                | VEX.128.66.0F.W0 D7 /r         | VPMOVMSKB r32, xmm1                                          | Y        | Y        | Y        | AVX        | VEX_Vpmovmskb_r32_xmm                             
3375       | VPMOVMSKB                | VEX.128.66.0F.W1 D7 /r         | VPMOVMSKB r64, xmm1                                          | N        | N        | Y        | AVX        | VEX_Vpmovmskb_r64_xmm                             
3376       | VPMOVMSKB                | VEX.256.66.0F.W0 D7 /r         | VPMOVMSKB r32, ymm1                                          | Y        | Y        | Y        | AVX2       | VEX_Vpmovmskb_r32_ymm                             
3377       | VPMOVMSKB                | VEX.256.66.0F.W1 D7 /r         | VPMOVMSKB r64, ymm1                                          | N        | N        | Y        | AVX2       | VEX_Vpmovmskb_r64_ymm                             
3378       | VPMOVQ2M                 | EVEX.128.F3.0F38.W1 39 /r      | VPMOVQ2M k1, xmm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovq2m_k_xmm                               
3379       | VPMOVQ2M                 | EVEX.256.F3.0F38.W1 39 /r      | VPMOVQ2M k1, ymm1                                            | Y        | Y        | Y        | AVX512VL and AVX512BW | EVEX_Vpmovq2m_k_ymm                               
3380       | VPMOVQ2M                 | EVEX.512.F3.0F38.W1 39 /r      | VPMOVQ2M k1, zmm1                                            | Y        | Y        | Y        | AVX512BW   | EVEX_Vpmovq2m_k_zmm                               
3381       | VPMOVQB                  | EVEX.128.F3.0F38.W0 32 /r      | VPMOVQB xmm1/m16 {k1}{z}, xmm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqb_xmmm16_k1z_xmm                       
3382       | VPMOVQB                  | EVEX.256.F3.0F38.W0 32 /r      | VPMOVQB xmm1/m32 {k1}{z}, ymm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqb_xmmm32_k1z_ymm                       
3383       | VPMOVQB                  | EVEX.512.F3.0F38.W0 32 /r      | VPMOVQB xmm1/m64 {k1}{z}, zmm2                               | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovqb_xmmm64_k1z_zmm                       
3384       | VPMOVQD                  | EVEX.128.F3.0F38.W0 35 /r      | VPMOVQD xmm1/m64 {k1}{z}, xmm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqd_xmmm64_k1z_xmm                       
3385       | VPMOVQD                  | EVEX.256.F3.0F38.W0 35 /r      | VPMOVQD xmm1/m128 {k1}{z}, ymm2                              | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqd_xmmm128_k1z_ymm                      
3386       | VPMOVQD                  | EVEX.512.F3.0F38.W0 35 /r      | VPMOVQD ymm1/m256 {k1}{z}, zmm2                              | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovqd_ymmm256_k1z_zmm                      
3387       | VPMOVQW                  | EVEX.128.F3.0F38.W0 34 /r      | VPMOVQW xmm1/m32 {k1}{z}, xmm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqw_xmmm32_k1z_xmm                       
3388       | VPMOVQW                  | EVEX.256.F3.0F38.W0 34 /r      | VPMOVQW xmm1/m64 {k1}{z}, ymm2                               | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovqw_xmmm64_k1z_ymm                       
3389       | VPMOVQW                  | EVEX.512.F3.0F38.W0 34 /r      | VPMOVQW xmm1/m128 {k1}{z}, zmm2                              | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovqw_xmmm128_k1z_zmm                      
3390       | VPMOVSDB                 | EVEX.128.F3.0F38.W0 21 /r      | VPMOVSDB xmm1/m32 {k1}{z}, xmm2                              | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovsdb_xmmm32_k1z_xmm                      
3391       | VPMOVSDB                 | EVEX.256.F3.0F38.W0 21 /r      | VPMOVSDB xmm1/m64 {k1}{z}, ymm2                              | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovsdb_xmmm64_k1z_ymm                      
3392       | VPMOVSDB                 | EVEX.512.F3.0F38.W0 21 /r      | VPMOVSDB xmm1/m128 {k1}{z}, zmm2                             | Y        | Y        | Y        | AVX512F    | EVEX_Vpmovsdb_xmmm128_k1z_zmm                     
3393       | VPMOVSDW                 | EVEX.128.F3.0F38.W0 23 /r      | VPMOVSDW xmm1/m64 {k1}{z}, xmm2                              | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovsdw_xmmm64_k1z_xmm                      
3394       | VPMOVSDW                 | EVEX.256.F3.0F38.W0 23 /r      | VPMOVSDW xmm1/m128 {k1}{z}, ymm2                             | Y        | Y        | Y        | AVX512VL and AVX512F | EVEX_Vpmovsdw_xmmm128_k1z_ymm                     
