Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Type        | Z0.ByteBlocks.ByteBlock8                                              | 8 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock9                                              | 9 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock10                                             | 10 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock11                                             | 11 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock12                                             | 12 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock13                                             | 13 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock14                                             | 14 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock15                                             | 15 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock16                                             | 16 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock32                                             | 32 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock64                                             | 64 bytes of storage
Type        | Z0.ByteBlocks.ByteBlock128                                            | 127 bytes of storage
Method      | Z0.SymBits.extract(System.SByte,System.Byte,System.Byte)              | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Byte,System.Byte,System.Byte)               | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Int16,System.Byte,System.Byte)              | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.UInt16,System.Byte,System.Byte)             | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.UInt32,System.Byte,System.Byte)             | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Int32,System.Byte,System.Byte)              | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.UInt64,System.Byte,System.Byte)             | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Int64,System.Byte,System.Byte)              | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Single,System.Byte,System.Byte)             | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.extract(System.Double,System.Byte,System.Byte)             | Extracts a contiguous range of bits from the source inclusively between two index positions
Method      | Z0.SymBits.vmove8x16(System.Byte@)                                    | VPMOVZXBW ymm, m128            16x8u -&gt; 16x16u            Projects 16 unsigned 8-bit integers onto 16 unsigned 16-bit integers
Method      | Z0.MemStore.Load(System.Int32)                                        | Loads the data tracked by an index-identified memory reference
Method      | Z0.ResourceStore.Accessors(System.Type)                               | Queries the source type for ByteSpan property getters
Method      | Z0.ResourceStore.Accessors(System.Collections.Generic.IEnumerable{System.Type})| Queries the source types for ByteSpan property getters
Method      | Z0.ResourceStore.Accessors(System.Reflection.Assembly)                | Queries the source assembly for ByteSpan property getters
Method      | Z0.ResourceStore.Accessors(System.Collections.Generic.IEnumerable{System.Reflection.Assembly})| Queries the source assemblies for ByteSpan property getters
Property    | Z0.ISymbol`1.Value                                                    | The symbol value
Property    | Z0.ISymbol`2.SegWidth                                                 | The bit-width of a storage cell
Property    | Z0.ISymbol`2.Cell                                                     | The symbol value, from storage cell persective
Property    | Z0.ISymbol`3.SymWidth                                                 | The bit-width of a symbol
Property    | Z0.ISymbol`3.Capacity                                                 | The maximum number of symbols that can be packed into a storage cell
Type        | Z0.Symbol`1                                                           | Defines an S-symbol value
Property    | Z0.Symbol`1.Value                                                     | The symbol value
Type        | Z0.Symbol`2                                                           | Defines an S-symbol value covered by a T-storage cell
Property    | Z0.Symbol`2.Value                                                     | The symbol value
Property    | Z0.Symbol`2.Cell                                                      | The symbol value, from storage cell persective
Type        | Z0.Symbol`3                                                           | Defines an S-symbol value, of bit-width N, covered by a T-storage cell
Property    | Z0.Symbol`3.Value                                                     | The symbol value
Property    | Z0.Symbol`3.Cell                                                      | The symbol value, from storage cell persective
Property    | Z0.Symbol`3.SymWidth                                                  | The bit-width of a symbol
Property    | Z0.Symbol`3.SegWidth                                                  | The bit-width of a storage cell
Property    | Z0.Symbol`3.Capacity                                                  | The maximum number of symbols that can be packed into a storage cell
Property    | Z0.SymbolSpec`1.SegWidth                                              | The bit-width of a storage cell
Property    | Z0.SymbolSpec`1.Capacity                                              | The maximum number of symbols that can be stored in a segment
Type        | Z0.SymbolSpec`2                                                       | Specifes symbol characteristics
Property    | Z0.SymbolSpec`2.Symbols                                               | The specified symbols
Property    | Z0.SymbolSpec`2.SegWidth                                              | The bit-width of a storage cell
Property    | Z0.SymbolSpec`2.SegDomain                                             | The storage cell type identifier
Property    | Z0.SymbolSpec`2.SymWidth                                              | The number of bits occupied by a symbol
Property    | Z0.SymbolSpec`2.Capacity                                              | The maximum number of symbols that can be stored in a segment
Type        | Z0.SymbolSpec`3                                                       | Defines a set of S-symbol values, each of bit-width N and covered by a T-storage cell
Property    | Z0.SymbolSpec`3.SymWidth                                              | The number of bits occupied by a symbol
Property    | Z0.SymbolSpec`3.SegWidth                                              | The width of the underlying numeric primitive
Property    | Z0.SymbolSpec`3.Capacity                                              | The maximum number of symbols that can be stored in a segment
Type        | Z0.BitFormatConfig                                                    | Controls formatting when bitstring content is rendered as text
Field       | Z0.BitFormatConfig.TrimLeadingZeros                                   | Indicates whether leading zeros should be trimmed
Field       | Z0.BitFormatConfig.SpecifierPrefix                                    | Indicates whether the '0b' prefix should be emitted
Field       | Z0.BitFormatConfig.MaxBitCount                                        | The maximum number of bits to be extracted/formatted from the source
Field       | Z0.BitFormatConfig.BlockWidth                                         | Optional contiguous digit sequence width; if unspecified the bistring will be formatted without blocks
Field       | Z0.BitFormatConfig.BlockSep                                           | The character with which to intersperse blocks; if unspecified, a space will be used
Field       | Z0.BitFormatConfig.RowWidth                                           | The optional row width, applicable when formatting rectangular regions of bits
Field       | Z0.BitFormatConfig.ZPad                                               | The number of leading zeroes to pad
Type        | Z0.BitFormatter`1                                                     | Configurable bit data type formatter
Method      | Z0.Formatters.content``1(Z0.FormatRender{``0})                        | Creates a formatter from a rendering function render:T -&gt; string
Method      | Z0.Formatters.content``2(Z0.FormatRender{``0,``1})                    | Creates a formatter from a rendering function render:T -&gt; string
Method      | Z0.Formatters.title``1(Z0.TitleRender{``0})                           | Creates a title formatter from a rendering function render:T -&gt; string
Method      | Z0.Formatters.entitled``1(Z0.ITitleFormatter{``0},Z0.IFormatter{``0}) | Creates an entitled formatter that provides formatting, entitling and entitled formatting
Method      | Z0.Formatters.entitled``1(Z0.TitleRender{``0},Z0.FormatRender{``0})   | Creates an entitled formatter that provides formatting, entitling and entitled formatting            from a format/title render function pair
Type        | Z0.Formatters.DefaultFormatter                                        | Reifies a formatter via Object.ToString()
Type        | Z0.TitleFormatter`1                                                   | Provies a parametric title reification predicated on a render function
Type        | Z0.FormatterAttribute                                                 | Applied to a type to specify a non-default formatter
Property    | Z0.FormatterAttribute.Realization                                     | Specifies the type that realizes IFormatter and its generic variants if extant
Type        | Z0.IEntitled`1                                                        | Characterizes a content formatter that can also produces titles and titled content
Type        | Z0.ITitleFormatter                                                    | Characterizes a service that knows how to produce titles for things
Type        | Z0.ITitleFormatter`1                                                  | Characterizes a parametric title formatter
Field       | Z0.HexSpecs.UC                                                        | The uppercase hex format code
Field       | Z0.HexSpecs.LC                                                        | The lowercase hex format code
Field       | Z0.HexSpecs.DataDelimiter                                             | The delimiter used to separate hex numbers when rendering a hex data sequence
Field       | Z0.HexSpecs.HexPad8                                                   | The maximum number of hex characters required to represent an 8-bit number
Field       | Z0.HexSpecs.HexPad16                                                  | The maximum number of hex characters required to represent a 16-bit number
Field       | Z0.HexSpecs.HexPad32                                                  | The maximum number of hex characters required to represent a 32-bit number
Field       | Z0.HexSpecs.HexPad64                                                  | The maximum number of hex characters required to represent a 64-bit number
Field       | Z0.HexSpecs.PreSpec                                                   | Standard hex specifier that leads the numeric content
Field       | Z0.HexSpecs.PostSpec                                                  | Standard hex specifier that trails the numeric content
Field       | Z0.HexSpecs.MinScalarCode                                             | The asci code of the '0' digit
Field       | Z0.HexSpecs.MaxScalarCode                                             | The asci code of the '9' digit
Field       | Z0.HexSpecs.MinCharCodeU                                              | The asci code of the 'A' digit
Field       | Z0.HexSpecs.MaxCharCodeU                                              | The asci code of the 'F' digit
Field       | Z0.HexSpecs.MinCharCodeL                                              | The asci code of the 'a' digit
Field       | Z0.HexSpecs.MaxCharCodeL                                              | The asci code of the 'f' digit
Property    | Z0.HexSpecs.Uppercase                                                 | Defines the asci character codes for uppercase hex digits 1,2, ..., 9, A, ..., F
Property    | Z0.HexSpecs.Lowercase                                                 | Defines the asci character codes for uppercase hex digits 1,2, ..., 9, a, ..., f
Method      | Z0.HexSpecs.IsScalar(System.Char)                                     | Determines whether a character corresponds to one of the lower hex codes
Method      | Z0.HexSpecs.IsUpperChar(System.Char)                                  | Determines whether a character corresponds to one of the uppercase hex code characters
Method      | Z0.HexSpecs.IsLowerChar(System.Char)                                  | Determines whether a character corresponds to one of the lowercase hex code characters
Method      | Z0.HexSpecs.IsHex(System.Char)                                        | Determines whether a character is a hex digit
Method      | Z0.HexSpecs.CaseSpec(System.Boolean)                                  | Selects either the uppercase format code 'X' or lowercase format code 'x'
Method      | Z0.HexSpecs.ClearSpecs(System.String)                                 | Removes leading or trailing hex specifiers
Method      | Z0.HexSpecs.Parse(System.Char)                                        | Attempts to parse a hex digit
Method      | Z0.MemoryRangeParser.Parse(System.String)                             | Attempts to parse an address segment in standard form, [start,end]
Method      | Z0.MemoryRangeParser.ParseOption(System.String)                       | Attempts to parse an address segment in standard form, [start,end]
Method      | Z0.HexByteParser.Parse(System.Char)                                   | Parses the Hex digit if possible; otherwise raises an error
Method      | Z0.HexByteParser.ParseData(System.String)                             | Parses a space-delimited sequence of hex text
Method      | Z0.HexByteParser.ParseByte(System.String)                             | Parses a hex byte
Method      | Z0.HexFormat.data``1(``0[])                                           | Formats a numeric array as hex data content
Method      | Z0.HexFormat.array``1(``0[])                                          | Formats a numeric aray as...numeric array content
Method      | Z0.HexFormat.data``1(System.ReadOnlySpan{``0})                        | Formats a numeric array as hex data
Method      | Z0.HexFormat.digits``1(System.String,System.Boolean,System.Boolean,System.Boolean,System.Boolean)| Formats a sequence of hex characters encoded in a string according to the characteristics of the parametric            type over which the operation is closed
Type        | Z0.HexFormatConfig                                                    | Defines a common set of hex formatting options
Field       | Z0.HexFormatConfig.ZPad                                               | Indicates whether the numeric content should be left-padded with zeros
Field       | Z0.HexFormatConfig.Specifier                                          | Indicates whether a hex specifier, either prefixing or suffixing the numeric content, should be emitted
Field       | Z0.HexFormatConfig.Uppercase                                          | Indicates whether the hex digits 'A',..,'F' should be upper-cased
Field       | Z0.HexFormatConfig.PreSpec                                            | Indicates whether the hex numeric specifier, if emitted, shold prefix the output
Field       | Z0.HexFormatConfig.CaseFormatChar                                     | The case format character, either 'X' or 'x'
Field       | Z0.HexFormatConfig.Delimiter                                          | The character with which to intersperse hex number sequences
Property    | Z0.HexFormatConfig.FormatCode                                         | The hex format string as determined by configuration
Property    | Z0.HexFormatConfig.HexData                                            | Specifies the default configuration for hex data emission
Property    | Z0.HexFormatConfig.ArrayContent                                       | The default configuration for array initialization content
Method      | Z0.HexScalarParser.SystemParse(System.String)                         | Attempts to parse a hex string as an unsigned long
Method      | Z0.NumericParser.transposition``1(System.String)                      | Parses a transposition in canonical form (i j), if possible; otherwise returns the empty transposition
Method      | Z0.NumericParser.create``1                                            | Creates a numeric parser
Method      | Z0.NumericParser.infallible``1                                        | Creates an infallible numeric parser
Method      | Z0.NumericParser.parse``1(System.String)                              | Attempts to parse the source text as a parametrically-identified type
Method      | Z0.Parsers.from``2(Z0.Parse{``0,``1})                                 | Defines a parser predicated on a parse function
Field       | Z0.text.Eol                                                           | Renders an end-of-line marker
Field       | Z0.text.blank                                                         | The non-null empty string
Method      | Z0.text.space                                                         | Produces a space character
Method      | Z0.text.build                                                         | Creates a new stringbuilder
Method      | Z0.text.assign(System.Object,System.Object)                           | Creates a string of the form "lhs := rhs"
Method      | Z0.text.label(System.Object,System.Object)                            | Creates a string of the form "name: content"
Method      | Z0.text.nonempty(System.String)                                       | Tests whether the source string is nonempty
Method      | Z0.text.empty(System.String)                                          | Tests whether the source string is empty
Method      | Z0.text.ifempty(System.String,System.String)                          | A string-specific coalescing operation
Method      | Z0.text.denullify(System.String)                                      | If the test string is null, returns the empty string; otherwise, returns the test string
Method      | Z0.text.slice(System.String,System.Int32)                             | Extracts a substring
Method      | Z0.text.slice(System.String,System.Int32,System.Int32)                | Extracts a substring
Method      | Z0.text.split(System.String,System.Char)                              | Splits the string, removing empty entries
Method      | Z0.text.replicate(System.Char,System.Int32)                           | Creates a stream of replicated characters
Method      | Z0.text.replicate(System.String,System.Int32)                         | Repeats a string a specified number of times
Method      | Z0.text.concat(System.Collections.Generic.IEnumerable{System.Object}) | Concatenates a sequence of values with no intervening delimiter
Method      | Z0.text.concat(System.Collections.Generic.IEnumerable{System.Char})   | Concatenates a sequence of characters with no intervening delimiter
Method      | Z0.text.format``1(``0)                                                | Formats a custom-formattable elements
Method      | Z0.text.format``1(System.Collections.Generic.IEnumerable{``0})        | Produces a sequence of formatted strings given a sequence of custom-formattable elements
Method      | Z0.text.quote(System.String)                                          | Produces a quote
Method      | Z0.text.lspace(System.Object)                                         | Prepends a space to the source content
Method      | Z0.text.rspace(System.Object)                                         | Appends a space to the source content
Method      | Z0.text.spaced(System.Object)                                         | Formats the content with a space on either side
Method      | Z0.text.spaced(System.Collections.Generic.IEnumerable{System.Object}) | Separates each item with a space
Method      | Z0.text.join(System.Char,System.Object[])                             | Concatenates a sequence of strings intersprsed by a character delimiter with a space on either side
Method      | Z0.text.concat(System.Char,System.Collections.Generic.IEnumerable{System.Object})| Concatenates a sequence of strings intersprsed by a character delimiter with a space on either side
Method      | Z0.text.concat(System.String,System.Collections.Generic.IEnumerable{System.Object})| Joins the string representation of a sequence of items interspersed by a separator
Method      | Z0.text.concat(System.Object[])                                       | Joins the string representation of a sequence of items with no interspersed separator
Method      | Z0.text.intersperse(System.String,System.Char)                        | Creates a new string by weaving a specified character between each character in the source
Method      | Z0.text.intersperse(System.String,System.String)                      | Creates a new string by weaving a substring between each character in the source
Method      | Z0.text.apply``2(``0,System.Func{``0,``1})                            | Applies a function to a value
Method      | Z0.text.embrace(System.String)                                        | Encloses text content between left and right braces
Method      | Z0.text.line(System.String)                                           | Produces a line of content
Method      | Z0.text.enquote(System.Object)                                        | Encloses the supplied text in quotation marks
Method      | Z0.text.enclose(System.Object,System.String,System.String)            | Encloses text within (possibly distinct) left and right boundaries
Method      | Z0.text.enclose(System.Object,System.String)                          | Encloses text within a bounding string
Method      | Z0.text.enclose(System.Char,System.String)                            | Encloses a character within uniform left/right bounding string
Method      | Z0.text.enclose(System.Char,System.String,System.String)              | Encloses a character within (possibly distinct) left and right boundaries
Method      | Z0.text.squote(System.Object)                                         | Encloses text between single quote (') characters
Method      | Z0.text.parenthetical(System.Object[])                                | Encloses content between '(' and ')' characters
Method      | Z0.text.parenthetical(System.Char,System.Object[])                    | Encloses content between '(' and ')' where items are interspersed with a separator
Method      | Z0.text.csv(System.Object,System.Object,System.Object[])              | Renders a content array as a comma-separated list of values
Method      | Z0.text.line(System.Collections.Generic.IEnumerable{System.Object})   | Renders each item from a sequence as list of values, delimited by end-of-line
Method      | Z0.text.enclose(System.Object,System.Char,System.Char)                | Encloses text within (possibly distinct) left and right boundaries
Method      | Z0.text.bracket(System.Object)                                        | Encloses text between '[' and ']' characters
Method      | Z0.text.fenced(System.String,System.Char,System.Char)                 | Determines whether the source text is of the form {left:char}{content:string}{right:char},            ignoring leading/trailing whitespace
Method      | Z0.text.enclosed(System.String,System.String,System.String)           | Extracts text that is enclosed between left and right boundaries, i.e. {left}{content}{right} =&gt; {content}
Method      | Z0.text.indices(System.String,System.Char,System.Char)                | Returns the indices of the first occurrences of the first and second characters in the source, if any
Method      | Z0.text.indices(System.String,System.String,System.String)            | Returns the indices of the first occurrences of the first and second strings in the source, if any
Method      | Z0.text.unfence(System.String,System.Char,System.Char)                | If fenced with specified left and right characters, extracts the enclosed content; otherwise, returns the content unmolested
Method      | Z0.text.bracketed(System.String)                                      | Determines whether the source text is of the form "[{content}]"
Method      | Z0.text.unbracket(System.String)                                      | If bracketed, extracts the enclosed content; otherwise, returns the empty string
Method      | Z0.text.ltrim(System.String,System.Char[])                            | Trims leading characters when matched
Method      | Z0.text.rtrim(System.String,System.Char[])                            | Trims trailing characters when matched
Method      | Z0.text.dots(System.Int32)                                            | Produces "..." where count has the default value of 3
Method      | Z0.text.indented(System.String,System.Int32)                          | Produces an indented string
Method      | Z0.text.spaces(System.Int32)                                          | Produces a string containing a specified number of spaces
Method      | Z0.text.remove(System.String,System.String)                           | Removes a substring from the subject
Method      | Z0.text.enquote(System.String)                                        | Encloses text in quotation marks if nonempty; otherwirse returns empty
Method      | Z0.text.segment(System.String,System.Int32,System.Int32)              | Returns a substring identified by inclusive indices
Method      | Z0.text.format(System.Object,System.Object[])                         | Formats and concatenates an arbitrary number of elements
Method      | Z0.text.left(System.String,System.Int32)                              | Returns the substring [0,chars-1]
Method      | Z0.text.stream(System.String,System.Text.Encoding)                    | Allocates a stream over a string
Method      | Z0.text.list``1(System.ReadOnlySpan{``0},System.Char,System.Int32)    | Formats a sequence of formattable things as delimited list
Method      | Z0.text.list``1(System.Collections.Generic.IEnumerable{``0},System.Nullable{System.Char},System.Int32)| Formats a sequence of formattable things as delimited list
Type        | Z0.Duration                                                           | Captures the length of a time period predicated on timer ticks
Field       | Z0.Duration.Ticks                                                     | The number of elapsed timer ticks that determines the period length
Property    | Z0.Duration.Ns                                                        | The duration expressed in nanoseconds
Property    | Z0.Duration.TickCount                                                 | The duration expressed in timer ticks
Property    | Z0.Duration.Ms                                                        | The duration expressed in milliseconds
Type        | Z0.SystemCounter                                                      | A stopwatch-like type in the form of a struct rather than a class
Property    | Z0.SystemCounter.Elapsed                                              | Measures the accumulated duration
Method      | Z0.SystemCounter.Reset                                                | Clears the counter's state
Property    | Z0.SystemCounter.Count                                                | Gets the total number of timer ticks
Property    | Z0.SystemCounter.Time                                                 | Gets the elapsed time implied by the tick count
Method      | Z0.IClocked.counter(System.Boolean)                                   | Allocates and optionally starts a system counter
Method      | Z0.IClocked.stopwatch(System.Boolean)                                 | Creates a new stopwatch and optionally start it
Method      | Z0.IClocked.snapshot(System.Diagnostics.Stopwatch)                    | Captures a stopwatch duration
Method      | Z0.Time.now                                                           | Right now
Method      | Z0.Time.stopwatch(System.Boolean)                                     | Creates a new stopwatch and optionally start it
Method      | Z0.Time.counter(System.Boolean)                                       | Allocates and optionally starts a system counter
Method      | Z0.Tuples.constant``1(``0,``0)                                        | Creates an immutable homogenous 2-tuple
Method      | Z0.Tuples.constant``1(``0,``0,``0)                                    | Creates an immutable homogenous 2-tuple
Method      | Z0.Tuples.constant``1(``0,``0,``0,``0)                                | Creates an immutable homogenous 4-tuple
Method      | Z0.Tuples.pair``1(``0,``0)                                            | Creates an homogenous pair
Method      | Z0.Tuples.paired``2(``0,``1)                                          | Creates a non-homogenous pair
Method      | Z0.Tuples.pairs``1(System.Int32)                                      | Allocates an homogenous pair store
Method      | Z0.Tuples.triple``1(``0,``0,``0)                                      | Creates an homogenous triple
Method      | Z0.Tuples.tripled``3(``0,``1,``2)                                     | Creates a non-homogenous triple
Method      | Z0.Tuples.triples``1(System.Int32)                                    | Allocates an homogenous triplestore
Type        | Z0.ConstPair                                                          | Defines const pair manipulation api
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.SByte}@)                  | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Byte}@)                   | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Int16}@)                  | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.UInt16}@)                 | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Int32}@)                  | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.UInt32}@)                 | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Int64}@)                  | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.UInt64}@)                 | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Single}@)                 | Presents a scalar pair as a parametric pair
Method      | Z0.ConstPair.generic``1(Z0.ConstPair{System.Double}@)                 | Presents a scalar pair as a parametric pair
Type        | Z0.BinaryEval`1                                                       | Captures the operands and outcome of binary operator evaluation
Type        | Z0.EvalResult                                                         | Describes the outcome of a test case
Type        | Z0.PairEval`1                                                         | Captures paired evaluations
Type        | Z0.UnaryEval`1                                                        | Captures the operands and outcome unary pair evaluation
Field       | Z0.UnaryEval`1.Source                                                 | The source operand data
Field       | Z0.UnaryEval`1.Target                                                 | The evaluation data
Property    | Z0.UnaryEval`1.Count                                                  | The evaluated pair count
Property    | Z0.UnaryEval`1.LeftLabel                                              | Designates the left operator
Property    | Z0.UnaryEval`1.RightLabel                                             | Designates the right operator
Type        | Z0.HashTable                                                          | Defines a K-V hashtable manipulation api
Method      | Z0.HashTable.Create``2(System.Collections.Generic.IReadOnlyDictionary{``0,``1})| Creates a hashtable from a dictionary
Method      | Z0.HashTable.Create(System.Collections.IEnumerable)                   | Creates a boxed hash table from an enumerable sequence of key-value pairs
Type        | Z0.Interval                                                           | Defines interval manipulation api
Method      | Z0.Interval.open``1(``0,``0)                                          | Defines an open interval (min,max)
Method      | Z0.Interval.closed``1(``0,``0)                                        | Defines a closed interval [min,max]
Method      | Z0.Interval.closedL``1(``0,``0)                                       | Constructs the (left-closed | right-open) interval [min,max)
Method      | Z0.Interval.closedR``1(``0,``0)                                       | Constructs the (left-closed | right-open) interval [min,max)
Method      | Z0.Interval.define``1(``0,``0,Z0.IntervalKind)                        | Defines an interval of specified sort
Type        | Z0.Bin`1                                                              | Represents one or more occurrence of a value within an interval
Type        | Z0.ConstPair`1                                                        | An homogenous immutable 2-tuple
Field       | Z0.ConstPair`1.Left                                                   | The first/left/lo member of the pair
Field       | Z0.ConstPair`1.Right                                                  | The second/right/hi member of the pair
Method      | Z0.ConstPair`1.As``1                                                  | Presents the source T-pair as a U-pair
Type        | Z0.ConstQuad`1                                                        | An homogenous immutable 4-tuple
Field       | Z0.ConstQuad`1.First                                                  | The first member
Field       | Z0.ConstQuad`1.Second                                                 | The second member
Field       | Z0.ConstQuad`1.Third                                                  | The third member
Field       | Z0.ConstQuad`1.Fourth                                                 | The fourth member
Method      | Z0.ConstQuad`1.As``1                                                  | Interprets the pair over an alternate domain
Type        | Z0.ConstTriple`1                                                      | An homogenous immutable 3-tuple
Field       | Z0.ConstTriple`1.First                                                | The first member
Field       | Z0.ConstTriple`1.Second                                               | The second member
Field       | Z0.ConstTriple`1.Third                                                | The third member
Method      | Z0.ConstTriple`1.As``1                                                | Interprets the pair over an alternate domain
Type        | Z0.HashTable`2                                                        | Reifies a K-V parametric hashtable, along with extras
Property    | Z0.HashTable`2.Empty                                                  | A hashtable that hashes nothing
Type        | Z0.Interval`1                                                         | Defines a contiguous segment of homogenous values that lie within left and right boundaries
Field       | Z0.Interval`1.Left                                                    | The left endpoint
Field       | Z0.Interval`1.Right                                                   | The right endpoint
Property    | Z0.Interval`1.Kind                                                    | The interval classification
Property    | Z0.Interval`1.U01                                                     | Specifies the canonical closed unit interval over the underlying primitive
Property    | Z0.Interval`1.Full                                                    | Defines a closed interval that subsumes all points representable by the primal type
Property    | Z0.Interval`1.Unbound                                                 | Defines an open interval that subsumes all points representable by the primal type and all points represented             by increasing the size of the primal type without altering other characteristics
Property    | Z0.Interval`1.LeftClosed                                              | Specifies whether the interval is left-closed, or equivalently right-open, denoted by [Left,Right),
Property    | Z0.Interval`1.RightClosed                                             | Specifies whether the interval is right-closed, or equivalently left-open, denoted by (Left,Right],
Property    | Z0.Interval`1.Open                                                    | Specifies whether the interval is open, denoted by (Left,Right)
Property    | Z0.Interval`1.Closed                                                  | Specifies whether the interval is closed, denoted by [Left,Right]
Property    | Z0.Interval`1.RightOpen                                               | Specifies whether the interval is open on the right and closed on the left, denoted by [Left,Right)
Property    | Z0.Interval`1.LeftOpen                                                | Specifies whether the interval is open on the left and closed on the right, denoted by (Left,Right]
Property    | Z0.Interval`1.LeftUnbounded                                           | Specifies whether the interval is unbounded on the left, denoted by (-∞, right).
Property    | Z0.Interval`1.RightUnbounded                                          | Specifies whether the interval is unbounded on the left, denoted by (left, ∞).
Property    | Z0.Interval`1.Unbounded                                               | Specifies whether the interval is unbounded on the left and right, denoted by (-∞, ∞).
Property    | Z0.Interval`1.Degenerate                                              | Specifies whether the left and right enpoints are the same
Property    | Z0.Interval`1.IsEmpty                                                 | Specifies whether the interval is the zero interval
Property    | Z0.Interval`1.Zero                                                    | Specifies the zero interval
Method      | Z0.Interval`1.ToOpen                                                  | Creates an open interval with endpoints from the existing interval
Method      | Z0.Interval`1.ToLeftOpen                                              | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.Interval`1.ToRightClosed                                           | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.Interval`1.ToRightOpen                                             | Creates a left-open/right-closed interval with endpoints from the existing interval
Method      | Z0.Interval`1.ToLeftClosed                                            | Creates a left-closed interval with endpoints from the existing interval
Method      | Z0.Interval`1.ToClosed                                                | Creates a closed interval with endpoints from the existing interval
Method      | Z0.Interval`1.Convert``1                                              | Converts the left and right underlying values
Method      | Z0.Interval`1.As``1                                                   | Creates a view of the data in the inverval as seen through the            lens of another type, but performs no conversion
Property    | Z0.Interval`1.Empty                                                   | The interval of nothingness
Type        | Z0.Pair`1                                                             | An homogenous mutable 2-tuple
Field       | Z0.Pair`1.Left                                                        | The first member
Field       | Z0.Pair`1.Right                                                       | The second member
Method      | Z0.Pair`1.As``1                                                       | Interprets the pair over an alternate domain
Type        | Z0.Triple`1                                                           | An homogenous mutable 3-tuple
Field       | Z0.Triple`1.First                                                     | The first member
Field       | Z0.Triple`1.Second                                                    | The second member
Field       | Z0.Triple`1.Third                                                     | The third member
Method      | Z0.Triple`1.As``1                                                     | Interprets the pair over an alternate domain
Type        | Z0.Tripled`3                                                          | Defines a non-homogenous mutable 3-tuple
Field       | Z0.Tripled`3.First                                                    | The first member
Field       | Z0.Tripled`3.Second                                                   | The second member
Field       | Z0.Tripled`3.Third                                                    | The third member
Method      | Z0.Tripled`3.As``3                                                    | Interprets the pair over alternate domains
Type        | Z0.U01`1                                                              | Defines a unit interval for a primal type
Field       | Z0.U01`1.LeftClosed                                                   | Specifies whether the interval is closed on the left
Field       | Z0.U01`1.RightClosed                                                  | Specifies whether the interval is closed on the right
Method      | Z0.U01`1.Close                                                        | Manufactures the interval [0,1]
Method      | Z0.U01`1.Open                                                         | Manufactures the interval (0,1)
Type        | Z0.Pairs                                                              | Defines pair/paired manipulation api
Method      | Z0.Pairs.pair``1(``0,``0)                                             | Creates an homogenous pair
Method      | Z0.Pairs.paired``2(``0,``1)                                           | Creates a non-homogenous pair
Method      | Z0.Pairs.constant``1(``0,``0)                                         | Creates an immutable homogenous 2-tuple
Method      | Z0.Pairs.index``1(Z0.Pair{``0}[])                                     | Creates a pair index from an array of pairs
Type        | Z0.IPolyrand                                                          | Characterizes source capable of producing an interminable sequence of pseudorandom bounded points             of any numeric type among: sbyte, byte, short, ushort, int, uint, long, ulong, float, double
Property    | Z0.IPolyrand.Navigator                                                | Retrieves the random stream navigator, if supported
Type        | Z0.IPolyrandProvider                                                  | Characterizes a type that provides access to a stateful and parametric-polymorphic             pseudorandom number generator
