Method      | Z0.BitVector.add(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector64.op_Equality(Z0.BitVector64,Z0.BitVector64)             | Determines whether operand content is identical
Method      | Z0.BitVector64.op_Inequality(Z0.BitVector64,Z0.BitVector64)           | Determines whether operand content is non-identical
Method      | Z0.BitVector64.op_LessThan(Z0.BitVector64,Z0.BitVector64)             | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector64.op_GreaterThan(Z0.BitVector64,Z0.BitVector64)          | Determines whether the left operand is arithmetically greater than the second
Method      | Z0.BitVector64.op_LessThanOrEqual(Z0.BitVector64,Z0.BitVector64)      | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector64.op_GreaterThanOrEqual(Z0.BitVector64,Z0.BitVector64)   | Determines whether the left operand is arithmetically greater than or equal to the second
Method      | Z0.BitVector64.#ctor(System.UInt64)                                   | Initializes a vector with the primal source value it represents
Property    | Z0.BitVector64.Scalar                                                 | Extracts the scalar represented by the vector
Property    | Z0.BitVector64.Width                                                  | The actual number of bits represented by the vector
Property    | Z0.BitVector64.Bytes                                                  | Presents bitvector content as a bytespan
Property    | Z0.BitVector64.Empty                                                  | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitVector64.NonEmpty                                               | Returns true if the vector has at least one enabled bit; false otherwise
Property    | Z0.BitVector64.AllOn                                                  | Tests whether all bits are on
Property    | Z0.BitVector64.Lo                                                     | The vector's 32 least significant bits
Property    | Z0.BitVector64.Hi                                                     | The vector's 32 most significant bits
Property    | Z0.BitVector64.Item(System.Int32)                                     | Reads/Manipulates a source bit at a specified position
Property    | Z0.BitVector64.Item(System.Byte,System.Byte)                          | Selects a contiguous range of bits
Method      | Z0.BitVector64.Byte(System.Int32)                                     | Selects an index-identified byte where index = 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7
Method      | Z0.BitVector8.op_Implicit(Z0.HexKind)~Z0.BitVector8                   | Implicitly converts a byte classifier to a vector
Method      | Z0.BitVector8.op_Implicit(Z0.BitVector8)~Z0.HexKind                   | Implicitly converts a vector to a byte classifier
Method      | Z0.BitVector8.op_Implicit(Z0.BitVector8)~System.Byte                  | Converts the source vector to the underlying scalar
Method      | Z0.BitVector8.op_BitwiseOr(Z0.BitVector8,Z0.BitVector8)               | Computes the bitwise OR of the source operands
Method      | Z0.BitVector8.op_LeftShift(Z0.BitVector8,System.Int32)                | Left-shifts the bits in the source
Method      | Z0.BitVector8.op_RightShift(Z0.BitVector8,System.Int32)               | Right-shifts the bits in the source
Method      | Z0.BitVector8.op_OnesComplement(Z0.BitVector8)                        | Computes the one's complement of the operand.
Method      | Z0.BitVector8.op_UnaryNegation(Z0.BitVector8)                         | Computes the two's complement of the operand
Method      | Z0.BitVector8.op_Addition(Z0.BitVector8,Z0.BitVector8)                | Computes the arithmetic sum of the source operands.
Method      | Z0.BitVector8.op_Multiply(Z0.BitVector8,Z0.BitVector8)                | Computes the product of the operands.
Method      | Z0.BitVector8.op_Subtraction(Z0.BitVector8,Z0.BitVector8)             | Computes the arithmetic difference between the operands
Method      | Z0.BitVector8.op_ExclusiveOr(Z0.BitVector8,System.Int32)              | Raises a vector b to a power n where n &gt;= 0
Method      | Z0.BitVector8.op_Modulus(Z0.BitVector8,Z0.BitVector8)                 | Computes the scalar product of the operands
Method      | Z0.BitVector8.op_Increment(Z0.BitVector8)                             | Arithmetically increments the bitvector
Method      | Z0.BitVector8.op_Decrement(Z0.BitVector8)                             | Arithmetically decrements the bitvector
Method      | Z0.BitVector8.op_True(Z0.BitVector8)                                  | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector8.op_False(Z0.BitVector8)                                 | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector8.op_LogicalNot(Z0.BitVector8)                            | Computes the operand's logical negation: if x = 0 then 1 else 0
Method      | Z0.BitVector8.op_Equality(Z0.BitVector8,Z0.BitVector8)                | Determines whether operand content is identical
Method      | Z0.BitVector8.op_Inequality(Z0.BitVector8,Z0.BitVector8)              | Determines whether operand content is non-identical
Method      | Z0.BitVector8.op_LessThan(Z0.BitVector8,Z0.BitVector8)                | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector8.op_GreaterThan(Z0.BitVector8,Z0.BitVector8)             | Determines whether the left operand is arithmetically greater than than the second
Method      | Z0.BitVector8.op_LessThanOrEqual(Z0.BitVector8,Z0.BitVector8)         | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector8.op_GreaterThanOrEqual(Z0.BitVector8,Z0.BitVector8)      | Determines whether the left operand is arithmetically greater than or equal to the second
Property    | Z0.BitVector8.Scalar                                                  | Extracts the scalar represented by the vector
Property    | Z0.BitVector8.Width                                                   | The number of bits represented by the vector
Property    | Z0.BitVector8.Bytes                                                   | Presents bitvector content as a bytespan
Property    | Z0.BitVector8.Empty                                                   | Returns true if no bits are enabled, false otherwise
Property    | Z0.BitVector8.NonEmpty                                                | Returns true if the vector has at least one enabled bit; false otherwise
Property    | Z0.BitVector8.AllOn                                                   | Returns true if all bits are enabled, false otherwise
Property    | Z0.BitVector8.Hi                                                      | The vector's 4 most significant bits
Property    | Z0.BitVector8.Lo                                                      | The vector's 4 least significant bits
Property    | Z0.BitVector8.Item(System.Int32)                                      | Gets/sets the state of an index-identified bit
Property    | Z0.BitVector8.Item(System.Byte,System.Byte)                           | Selects a contiguous range of bits
Type        | Z0.BitVector`2                                                        | Defines a natural bitvector over a primal cell
Property    | Z0.BitVector`2.MaxWidth                                               | The physical width of the vector
Property    | Z0.BitVector`2.MaxValue                                               | The maximum arithmetic value of the vector, constrained by the natural width
Method      | Z0.BitVector`2.Inject(`1)                                             | Directly assigns a value to a vector storage cell, bypassing masked initialization
Method      | Z0.BitVector`2.op_Implicit(`1)~Z0.BitVector{`0,`1}                    | Implicitly convers a scalar to a bitvector
Method      | Z0.BitVector`2.op_Implicit(Z0.BitVector{`0,`1})~`1                    | Implicitly convers a bitvector to its scalar representation
Method      | Z0.BitVector`2.op_Implicit(Z0.BitVector{`0,`1})~Z0.BitVector{`1}      | Implicitly convers a bitvector to its scalar representation
Method      | Z0.BitVector`2.op_BitwiseAnd(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1}) | Computes the bitwias AND between the operands
Method      | Z0.BitVector`2.op_BitwiseOr(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})  | Computes the bitwias AND between the operands
Method      | Z0.BitVector`2.op_ExclusiveOr(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})| Computes the bitwise XOR between the operands
Method      | Z0.BitVector`2.op_Modulus(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})    | Computes the scalar product of the operands
Method      | Z0.BitVector`2.op_OnesComplement(Z0.BitVector{`0,`1})                 | Computes the bitwise complement of the operand
Method      | Z0.BitVector`2.op_Increment(Z0.BitVector{`0,`1})                      | Computes the bitwise complement of the operand
Method      | Z0.BitVector`2.op_Decrement(Z0.BitVector{`0,`1})                      | Computes the bitwise complement of the operand
Method      | Z0.BitVector`2.op_Addition(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})   | Computes the N-modular arithmetic sum between the operands
Method      | Z0.BitVector`2.op_Subtraction(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})| Computes the N-modular arithmetic difference between the operands
Method      | Z0.BitVector`2.op_UnaryNegation(Z0.BitVector{`0,`1})                  | Computes the two's complement negation of the operand
Method      | Z0.BitVector`2.op_LeftShift(Z0.BitVector{`0,`1},System.Int32)         | Shifts the source bits leftwards
Method      | Z0.BitVector`2.op_RightShift(Z0.BitVector{`0,`1},System.Int32)        | Shifts the source bits rightwards
Method      | Z0.BitVector`2.op_LessThan(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})   | Computes the arithmetic less than between the operands
Method      | Z0.BitVector`2.op_GreaterThan(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})| Computes the arithmetic greater than between the operands
Method      | Z0.BitVector`2.op_LessThanOrEqual(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})| Computes the arithmetic less than or equal between the operands
Method      | Z0.BitVector`2.op_GreaterThanOrEqual(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})| Computes the arithmetic greater than or equal between the operands
Method      | Z0.BitVector`2.op_True(Z0.BitVector{`0,`1})                           | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector`2.op_False(Z0.BitVector{`0,`1})                          | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector`2.op_Equality(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1})   | Determines whether operand content is identical
Method      | Z0.BitVector`2.op_Inequality(Z0.BitVector{`0,`1},Z0.BitVector{`0,`1}) | Determines whether operand content is non-identical
Method      | Z0.BitVector`2.#ctor(`1)                                              | Intializes a bitvector with the lo N bits of a scalar source
Property    | Z0.BitVector`2.Scalar                                                 | The scalar representation of the vector
Property    | Z0.BitVector`2.Width                                                  | The bitvector width
Property    | Z0.BitVector`2.Empty                                                  | Specifies whether all bits are disabled
Property    | Z0.BitVector`2.NonEmpty                                               | Specifies whether at least one bit is enabled
Property    | Z0.BitVector`2.Item(System.Int32)                                     | Reads/Manipulates a single bit
Property    | Z0.BitVector`2.Item(System.Byte,System.Byte)                          | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVector`2.As``1                                                  | Creates a new vector by converting the underlying cell to the target type
Type        | Z0.BitVector`1                                                        | Defines a generic bitvector over a primal cell
Method      | Z0.BitVector`1.op_BitwiseAnd(Z0.BitVector{`0},Z0.BitVector{`0})       | Computes the bitwias AND between the operands
Method      | Z0.BitVector`1.op_BitwiseOr(Z0.BitVector{`0},Z0.BitVector{`0})        | Computes the bitwias AND between the operands
Method      | Z0.BitVector`1.op_ExclusiveOr(Z0.BitVector{`0},Z0.BitVector{`0})      | Computes the bitwise XOR between the operands
Method      | Z0.BitVector`1.op_Modulus(Z0.BitVector{`0},Z0.BitVector{`0})          | Computes the scalar product of the operands
Method      | Z0.BitVector`1.op_OnesComplement(Z0.BitVector{`0})                    | Computes the bitwise complement of the operand
Method      | Z0.BitVector`1.op_UnaryNegation(Z0.BitVector{`0})                     | Computes the two's complement negation of the operand
Method      | Z0.BitVector`1.op_LeftShift(Z0.BitVector{`0},System.Int32)            | Shifts the source bits leftwards
Method      | Z0.BitVector`1.op_RightShift(Z0.BitVector{`0},System.Int32)           | Shifts the source bits rightwards
Method      | Z0.BitVector`1.op_True(Z0.BitVector{`0})                              | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.BitVector`1.op_False(Z0.BitVector{`0})                             | Returns false if the source vector is the zero vector, false otherwise
Method      | Z0.BitVector`1.op_Increment(Z0.BitVector{`0})                         | Increments the vector arithmetically
Method      | Z0.BitVector`1.op_Decrement(Z0.BitVector{`0})                         | Decrements the vector arithmetically
Method      | Z0.BitVector`1.op_Addition(Z0.BitVector{`0},Z0.BitVector{`0})         | Computes the arithmetic sum of the source operands.
Method      | Z0.BitVector`1.op_Subtraction(Z0.BitVector{`0},Z0.BitVector{`0})      | Arithmetically subtracts the second operand from the first.
Method      | Z0.BitVector`1.op_Equality(Z0.BitVector{`0},Z0.BitVector{`0})         | Determines whether operand content is identical
Method      | Z0.BitVector`1.op_Inequality(Z0.BitVector{`0},Z0.BitVector{`0})       | Determines whether operand content is non-identical
Method      | Z0.BitVector`1.op_LessThan(Z0.BitVector{`0},Z0.BitVector{`0})         | Determines whether the left operand is arithmetically less than the second
Method      | Z0.BitVector`1.op_GreaterThan(Z0.BitVector{`0},Z0.BitVector{`0})      | Determines whether the left operand is arithmetically greater than the second
Method      | Z0.BitVector`1.op_LessThanOrEqual(Z0.BitVector{`0},Z0.BitVector{`0})  | Determines whether the left operand is arithmetically less than or equal to the second
Method      | Z0.BitVector`1.op_GreaterThanOrEqual(Z0.BitVector{`0},Z0.BitVector{`0})| Determines whether the left operand is arithmetically greater than or equal to the second
Property    | Z0.BitVector`1.Scalar                                                 | Specifies the data over which the vector is defined
Property    | Z0.BitVector`1.Lo                                                     | Extracts the lower bits
Property    | Z0.BitVector`1.Hi                                                     | Extracts the upper bits
Property    | Z0.BitVector`1.Width                                                  | The number of bits represented by the vector
Property    | Z0.BitVector`1.Bytes                                                  | Converts the encapsulated data to a bytespan
Property    | Z0.BitVector`1.Empty                                                  | Specifies whether all bits are disabled
Property    | Z0.BitVector`1.NonEmpty                                               | Specifies whether at least one bit is enabled
Property    | Z0.BitVector`1.Item(System.Int32)                                     | Reads/Manipulates a single bit
Property    | Z0.BitVector`1.Item(System.Byte,System.Byte)                          | Extracts a contiguous sequence of bits defined by an inclusive range
Method      | Z0.BitVectorX.Extend(Z0.BitVector4,Z0.N8)                             | Zero extends the source vector
Method      | Z0.BitVectorX.Extend(Z0.BitVector8,Z0.N16)                            | Zero extends the source vector
Method      | Z0.BitVectorX.Extend(Z0.BitVector16,Z0.N32)                           | Zero extends the source vector
Method      | Z0.BitVectorX.Extend(Z0.BitVector32,Z0.N64)                           | Zero extends the source vector
Method      | Z0.BitVectorX.Extend(Z0.BitVector64,Z0.N128)                          | Zero extends the source vector
