Method      | Z0.BitGrid.negate``1(Z0.BitGrid16{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N128,Z0.N2,``0)                  | Creates a 256-bit natural bitgrid of dimension 128x2
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N4,Z0.N64,``0)                   | Creates a 256-bit natural bitgrid of dimension 4x64
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N64,Z0.N4,``0)                   | Creates a 256-bit natural bitgrid of dimension 64x4
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N8,Z0.N32,``0)                   | Creates a 256-bit natural bitgrid of dimension 8x32
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N32,Z0.N8,``0)                   | Creates a 256-bit natural bitgrid of dimension 32x8
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,Z0.N16,Z0.N16,``0)                  | Creates a 256-bit natural bitgrid of dimension 16x16
Method      | Z0.BitRng.BitGrid``1(Z0.IPolyrand,System.Int32,System.Int32,``0)      | Allocates and fills a generic bitgrid from a random source
Method      | Z0.BitRng.Fill``1(Z0.IPolyrand,Z0.BitGrid{``0}@)                      | Fills a caller-supplied generic bitgrid from a random source
Method      | Z0.BitRng.BitPositions``1(Z0.IPolyrand,System.UInt16,System.UInt16)   | Produces a stream of bit positions
Method      | Z0.BitRng.BitPositions(Z0.IPolyrand,System.Byte,System.UInt16,System.UInt16)| Produces a stream of bit positions
Method      | Z0.BitRng.BitBlock``2(Z0.IPolyrand)                                   | Produces a natural bitblock
Method      | Z0.BitRng.BitBlock``1(Z0.IPolyrand,System.Int32)                      | Produces a bitblock over a specified number of bits
Method      | Z0.BitRng.BitMatrix``1(Z0.IPolyrand)                                  | Produces a generic bitmatrix predicated on a primal type
Method      | Z0.BitRng.BitMatrix4(Z0.IPolyrand)                                    | Produces a 4x4 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix(Z0.IPolyrand,Z0.N4)                               | Produces a 4x4 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix8(Z0.IPolyrand)                                    | Produces a 8x8 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix(Z0.IPolyrand,Z0.N8)                               | Produces a 8x8 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix16(Z0.IPolyrand)                                   | Produces a 16x16 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix(Z0.IPolyrand,Z0.N16)                              | Produces a 16x16 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix32(Z0.IPolyrand)                                   | Produces a 32x32 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix(Z0.IPolyrand,Z0.N32)                              | Produces a 32x32 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix64(Z0.IPolyrand)                                   | Produces a 64x64 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix(Z0.IPolyrand,Z0.N64)                              | Produces a 64x64 bitmatrix from a random source
Method      | Z0.BitRng.BitMatrix``3(Z0.IPolyrand,``0,``1,``2)                      | Produces a generic bitmatrix of natural dimensions
Method      | Z0.BitRng.BitMatrix``2(Z0.IPolyrand,``0,``1)                          | Produces an generic bitmatrix of natural order
Field       | Z0.SubGrid128`3.Data                                                  | The grid state
Field       | Z0.SubGrid128`3.ByteCount                                             | The number of bytes covered by the grid
Property    | Z0.SubGrid128`3.W                                                     | The maximum grid width
Property    | Z0.SubGrid128`3.Dim                                                   | The grid dimension
Property    | Z0.SubGrid128`3.Content                                               | The exposed grid state
Property    | Z0.SubGrid128`3.RowCount                                              | The number of rows in the grid
Property    | Z0.SubGrid128`3.ColCount                                              | The number of columns in the grid
Property    | Z0.SubGrid128`3.BitCount                                              | The number of covered bits
Method      | Z0.SubGrid128`3.Cell(System.Int32)                                    | Reads an index-identified cell
Field       | Z0.SubGrid16`3.Data                                                   | The grid state
Field       | Z0.SubGrid16`3.ByteCount                                              | The maximum number of bytes covered by the grid
Property    | Z0.SubGrid16`3.W                                                      | The maximum grid width
Property    | Z0.SubGrid16`3.Dim                                                    | The grid dimension
Property    | Z0.SubGrid16`3.Content                                                | The exposed grid state
Property    | Z0.SubGrid16`3.CellCount                                              | The number of allocated cells
Property    | Z0.SubGrid16`3.BitCount                                               | The number of covered bits
Property    | Z0.SubGrid16`3.RowCount                                               | The number of rows in the grid
Property    | Z0.SubGrid16`3.ColCount                                               | The number of columns in the grid
Method      | Z0.SubGrid16`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.SubGrid16`3.Item(System.Int32)                                     | Extracts row content as a bitvector
Field       | Z0.SubGrid256`3.Data                                                  | The grid state
Field       | Z0.SubGrid256`3.ByteCount                                             | The maximum number of bytes covered by the grid
Property    | Z0.SubGrid256`3.W                                                     | The maximum grid width
Property    | Z0.SubGrid256`3.Dim                                                   | The grid dimension
Property    | Z0.SubGrid256`3.Content                                               | The exposed grid state
Property    | Z0.SubGrid256`3.RowCount                                              | The number of rows in the grid
Property    | Z0.SubGrid256`3.ColCount                                              | The number of columns in the grid
Property    | Z0.SubGrid256`3.BitCount                                              | The number of covered bits
Method      | Z0.SubGrid256`3.Cell(System.Int32)                                    | Reads an index-identified cell
Field       | Z0.SubGrid32`3.Data                                                   | The grid state
Field       | Z0.SubGrid32`3.ByteCount                                              | The number of bytes covered by the grid
Property    | Z0.SubGrid32`3.Content                                                | The exposed grid state
Property    | Z0.SubGrid32`3.BitCount                                               | The number of covered bits
Property    | Z0.SubGrid32`3.RowCount                                               | The number of rows in the grid
Property    | Z0.SubGrid32`3.ColCount                                               | The number of columns in the grid
Method      | Z0.SubGrid32`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.SubGrid32`3.Item(System.Int32)                                     | Extracts row content as a bitvector
Field       | Z0.SubGrid64`3.Data                                                   | The grid state
Field       | Z0.SubGrid64`3.ByteCount                                              | The number of bytes covered by the grid
Property    | Z0.SubGrid64`3.W                                                      | The maximum grid width
Property    | Z0.SubGrid64`3.Dim                                                    | The grid dimension
Property    | Z0.SubGrid64`3.Content                                                | The exposed grid state
Property    | Z0.SubGrid64`3.RowCount                                               | The number of rows in the grid
Property    | Z0.SubGrid64`3.ColCount                                               | The number of columns in the grid
Property    | Z0.SubGrid64`3.BitCount                                               | The number of covered bits
Method      | Z0.SubGrid64`3.Cell(System.Int32)                                     | Reads/writes an index-identified cell
Property    | Z0.SubGrid64`3.Item(System.Int32)                                     | Extracts row content as a bitvector
