| Sequence  | Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags     
| 3268      | EVEX_Vpcompressq_xmmm128_k1z_xmm                  | 8b 00 00 00     | P66     | T0F38   |         | xmm_or_mem          | xmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3269      | EVEX_Vpcompressq_ymmm256_k1z_ymm                  | 8b 00 00 00     | P66     | T0F38   |         | ymm_or_mem          | ymm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3270      | EVEX_Vpcompressq_zmmm512_k1z_zmm                  | 8b 00 00 00     | P66     | T0F38   |         | zmm_or_mem          | zmm_reg             |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3271      | VEX_Vpmaskmovd_xmm_xmm_m128                       | 8c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | mem                 |                     |           |               | Mode16, Mode32, Mode64
| 3272      | VEX_Vpmaskmovd_ymm_ymm_m256                       | 8c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | mem                 |                     |           |               | Mode16, Mode32, Mode64
| 3273      | VEX_Vpmaskmovq_xmm_xmm_m128                       | 8c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | mem                 |                     |           |               | Mode16, Mode32, Mode64, W
| 3274      | VEX_Vpmaskmovq_ymm_ymm_m256                       | 8c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | mem                 |                     |           |               | Mode16, Mode32, Mode64, W
| 3275      | EVEX_Vpermb_xmm_k1z_xmm_xmmm128                   | 8d 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 3276      | EVEX_Vpermb_ymm_k1z_ymm_ymmm256                   | 8d 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 3277      | EVEX_Vpermb_zmm_k1z_zmm_zmmm512                   | 8d 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 3278      | EVEX_Vpermw_xmm_k1z_xmm_xmmm128                   | 8d 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3279      | EVEX_Vpermw_ymm_k1z_ymm_ymmm256                   | 8d 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3280      | EVEX_Vpermw_zmm_k1z_zmm_zmmm512                   | 8d 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, ZeroingMasking
| 3281      | VEX_Vpmaskmovd_m128_xmm_xmm                       | 8e 00 00 00     | P66     | T0F38   |         | mem                 | xmm_vvvv            | xmm_reg             |                     |           |               | Mode16, Mode32, Mode64
| 3282      | VEX_Vpmaskmovd_m256_ymm_ymm                       | 8e 00 00 00     | P66     | T0F38   |         | mem                 | ymm_vvvv            | ymm_reg             |                     |           |               | Mode16, Mode32, Mode64
| 3283      | VEX_Vpmaskmovq_m128_xmm_xmm                       | 8e 00 00 00     | P66     | T0F38   |         | mem                 | xmm_vvvv            | xmm_reg             |                     |           |               | Mode16, Mode32, Mode64, W
| 3284      | VEX_Vpmaskmovq_m256_ymm_ymm                       | 8e 00 00 00     | P66     | T0F38   |         | mem                 | ymm_vvvv            | ymm_reg             |                     |           |               | Mode16, Mode32, Mode64, W
| 3285      | EVEX_Vpshufbitqmb_k_k1_xmm_xmmm128                | 8f 00 00 00     | P66     | T0F38   |         | k_reg               | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| 3286      | EVEX_Vpshufbitqmb_k_k1_ymm_ymmm256                | 8f 00 00 00     | P66     | T0F38   |         | k_reg               | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| 3287      | EVEX_Vpshufbitqmb_k_k1_zmm_zmmm512                | 8f 00 00 00     | P66     | T0F38   |         | k_reg               | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister
| 3288      | VEX_Vpgatherdd_xmm_vm32x_xmm                      | 90 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3289      | VEX_Vpgatherdd_ymm_vm32y_ymm                      | 90 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32y         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3290      | VEX_Vpgatherdq_xmm_vm32x_xmm                      | 90 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3291      | VEX_Vpgatherdq_ymm_vm32x_ymm                      | 90 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32x         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3292      | EVEX_Vpgatherdd_xmm_k1_vm32x                      | 90 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3293      | EVEX_Vpgatherdd_ymm_k1_vm32y                      | 90 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32y         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3294      | EVEX_Vpgatherdd_zmm_k1_vm32z                      | 90 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib32z         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3295      | EVEX_Vpgatherdq_xmm_k1_vm32x                      | 90 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3296      | EVEX_Vpgatherdq_ymm_k1_vm32x                      | 90 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3297      | EVEX_Vpgatherdq_zmm_k1_vm32y                      | 90 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib32y         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3298      | VEX_Vpgatherqd_xmm_vm64x_xmm                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3299      | VEX_Vpgatherqd_xmm_vm64y_xmm                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64y         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3300      | VEX_Vpgatherqq_xmm_vm64x_xmm                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3301      | VEX_Vpgatherqq_ymm_vm64y_ymm                      | 91 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64y         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3302      | EVEX_Vpgatherqd_xmm_k1_vm64x                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3303      | EVEX_Vpgatherqd_xmm_k1_vm64y                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64y         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3304      | EVEX_Vpgatherqd_ymm_k1_vm64z                      | 91 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64z         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3305      | EVEX_Vpgatherqq_xmm_k1_vm64x                      | 91 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3306      | EVEX_Vpgatherqq_ymm_k1_vm64y                      | 91 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64y         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3307      | EVEX_Vpgatherqq_zmm_k1_vm64z                      | 91 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib64z         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3308      | VEX_Vgatherdps_xmm_vm32x_xmm                      | 92 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3309      | VEX_Vgatherdps_ymm_vm32y_ymm                      | 92 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32y         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3310      | VEX_Vgatherdpd_xmm_vm32x_xmm                      | 92 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3311      | VEX_Vgatherdpd_ymm_vm32x_ymm                      | 92 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32x         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3312      | EVEX_Vgatherdps_xmm_k1_vm32x                      | 92 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3313      | EVEX_Vgatherdps_ymm_k1_vm32y                      | 92 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32y         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3314      | EVEX_Vgatherdps_zmm_k1_vm32z                      | 92 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib32z         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3315      | EVEX_Vgatherdpd_xmm_k1_vm32x                      | 92 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3316      | EVEX_Vgatherdpd_ymm_k1_vm32x                      | 92 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib32x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3317      | EVEX_Vgatherdpd_zmm_k1_vm32y                      | 92 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib32y         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3318      | VEX_Vgatherqps_xmm_vm64x_xmm                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3319      | VEX_Vgatherqps_xmm_vm64y_xmm                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64y         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64
| 3320      | VEX_Vgatherqpd_xmm_vm64x_xmm                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         | xmm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3321      | VEX_Vgatherqpd_ymm_vm64y_ymm                      | 93 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64y         | ymm_vvvv            |                     |           |               | Mode16, Mode32, Mode64, W
| 3322      | EVEX_Vgatherqps_xmm_k1_vm64x                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3323      | EVEX_Vgatherqps_xmm_k1_vm64y                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64y         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3324      | EVEX_Vgatherqps_ymm_k1_vm64z                      | 93 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64z         |                     |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, NonZeroOpMaskRegister
| 3325      | EVEX_Vgatherqpd_xmm_k1_vm64x                      | 93 00 00 00     | P66     | T0F38   |         | xmm_reg             | mem_vsib64x         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3326      | EVEX_Vgatherqpd_ymm_k1_vm64y                      | 93 00 00 00     | P66     | T0F38   |         | ymm_reg             | mem_vsib64y         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3327      | EVEX_Vgatherqpd_zmm_k1_vm64z                      | 93 00 00 00     | P66     | T0F38   |         | zmm_reg             | mem_vsib64z         |                     |                     |           |               | Mode16, Mode32, Mode64, W, OpMaskRegister, NonZeroOpMaskRegister
| 3328      | VEX_Vfmaddsub132ps_xmm_xmm_xmmm128                | 96 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3329      | VEX_Vfmaddsub132ps_ymm_ymm_ymmm256                | 96 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3330      | VEX_Vfmaddsub132pd_xmm_xmm_xmmm128                | 96 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3331      | VEX_Vfmaddsub132pd_ymm_ymm_ymmm256                | 96 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3332      | EVEX_Vfmaddsub132ps_xmm_k1z_xmm_xmmm128b32        | 96 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3333      | EVEX_Vfmaddsub132ps_ymm_k1z_ymm_ymmm256b32        | 96 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3334      | EVEX_Vfmaddsub132ps_zmm_k1z_zmm_zmmm512b32_er     | 96 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3335      | EVEX_Vfmaddsub132pd_xmm_k1z_xmm_xmmm128b64        | 96 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3336      | EVEX_Vfmaddsub132pd_ymm_k1z_ymm_ymmm256b64        | 96 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3337      | EVEX_Vfmaddsub132pd_zmm_k1z_zmm_zmmm512b64_er     | 96 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3338      | VEX_Vfmsubadd132ps_xmm_xmm_xmmm128                | 97 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3339      | VEX_Vfmsubadd132ps_ymm_ymm_ymmm256                | 97 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3340      | VEX_Vfmsubadd132pd_xmm_xmm_xmmm128                | 97 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3341      | VEX_Vfmsubadd132pd_ymm_ymm_ymmm256                | 97 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3342      | EVEX_Vfmsubadd132ps_xmm_k1z_xmm_xmmm128b32        | 97 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3343      | EVEX_Vfmsubadd132ps_ymm_k1z_ymm_ymmm256b32        | 97 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3344      | EVEX_Vfmsubadd132ps_zmm_k1z_zmm_zmmm512b32_er     | 97 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3345      | EVEX_Vfmsubadd132pd_xmm_k1z_xmm_xmmm128b64        | 97 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3346      | EVEX_Vfmsubadd132pd_ymm_k1z_ymm_ymmm256b64        | 97 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3347      | EVEX_Vfmsubadd132pd_zmm_k1z_zmm_zmmm512b64_er     | 97 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3348      | VEX_Vfmadd132ps_xmm_xmm_xmmm128                   | 98 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3349      | VEX_Vfmadd132ps_ymm_ymm_ymmm256                   | 98 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3350      | VEX_Vfmadd132pd_xmm_xmm_xmmm128                   | 98 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3351      | VEX_Vfmadd132pd_ymm_ymm_ymmm256                   | 98 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3352      | EVEX_Vfmadd132ps_xmm_k1z_xmm_xmmm128b32           | 98 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3353      | EVEX_Vfmadd132ps_ymm_k1z_ymm_ymmm256b32           | 98 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3354      | EVEX_Vfmadd132ps_zmm_k1z_zmm_zmmm512b32_er        | 98 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3355      | EVEX_Vfmadd132pd_xmm_k1z_xmm_xmmm128b64           | 98 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3356      | EVEX_Vfmadd132pd_ymm_k1z_ymm_ymmm256b64           | 98 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3357      | EVEX_Vfmadd132pd_zmm_k1z_zmm_zmmm512b64_er        | 98 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3358      | VEX_Vfmadd132ss_xmm_xmm_xmmm32                    | 99 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG
| 3359      | VEX_Vfmadd132sd_xmm_xmm_xmmm64                    | 99 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W
| 3360      | EVEX_Vfmadd132ss_xmm_k1z_xmm_xmmm32_er            | 99 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, RoundingControl, OpMaskRegister, ZeroingMasking
| 3361      | EVEX_Vfmadd132sd_xmm_k1z_xmm_xmmm64_er            | 99 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W, RoundingControl, OpMaskRegister, ZeroingMasking
| 3362      | VEX_Vfmsub132ps_xmm_xmm_xmmm128                   | 9a 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3363      | VEX_Vfmsub132ps_ymm_ymm_ymmm256                   | 9a 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3364      | VEX_Vfmsub132pd_xmm_xmm_xmmm128                   | 9a 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3365      | VEX_Vfmsub132pd_ymm_ymm_ymmm256                   | 9a 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3366      | EVEX_Vfmsub132ps_xmm_k1z_xmm_xmmm128b32           | 9a 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3367      | EVEX_Vfmsub132ps_ymm_k1z_ymm_ymmm256b32           | 9a 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 3368      | EVEX_Vfmsub132ps_zmm_k1z_zmm_zmmm512b32_er        | 9a 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3369      | EVEX_Vfmsub132pd_xmm_k1z_xmm_xmmm128b64           | 9a 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3370      | EVEX_Vfmsub132pd_ymm_k1z_ymm_ymmm256b64           | 9a 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 3371      | EVEX_Vfmsub132pd_zmm_k1z_zmm_zmmm512b64_er        | 9a 00 00 00     | P66     | T0F38   |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 3372      | EVEX_V4fmaddps_zmm_k1z_zmmp3_m128                 | 9a 00 00 00     | PF2     | T0F38   |         | zmm_reg             | zmmp3_vvvv          | mem                 |                     |           |               | Mode16, Mode32, Mode64, OpMaskRegister, ZeroingMasking
| 3373      | VEX_Vfmsub132ss_xmm_xmm_xmmm32                    | 9b 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG
| 3374      | VEX_Vfmsub132sd_xmm_xmm_xmmm64                    | 9b 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W
| 3375      | EVEX_Vfmsub132ss_xmm_k1z_xmm_xmmm32_er            | 9b 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, RoundingControl, OpMaskRegister, ZeroingMasking
| 3376      | EVEX_Vfmsub132sd_xmm_k1z_xmm_xmmm64_er            | 9b 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W, RoundingControl, OpMaskRegister, ZeroingMasking
| 3377      | EVEX_V4fmaddss_xmm_k1z_xmmp3_m128                 | 9b 00 00 00     | PF2     | T0F38   |         | xmm_reg             | xmmp3_vvvv          | mem                 |                     |           |               | Mode16, Mode32, Mode64, LIG, OpMaskRegister, ZeroingMasking
| 3378      | VEX_Vfnmadd132ps_xmm_xmm_xmmm128                  | 9c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3379      | VEX_Vfnmadd132ps_ymm_ymm_ymmm256                  | 9c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64
| 3380      | VEX_Vfnmadd132pd_xmm_xmm_xmmm128                  | 9c 00 00 00     | P66     | T0F38   |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
| 3381      | VEX_Vfnmadd132pd_ymm_ymm_ymmm256                  | 9c 00 00 00     | P66     | T0F38   |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W
